,League,Season,Home_score,Away_score,Win,OT,Home_p,Away_p,URL
4558,NBA,2014/2015,109.0,91.0,1.0,0.0,2.38,1.8,https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-houston-rockets-pfPFsyvn/
4559,NBA,2014/2015,109.0,103.0,1.0,1.0,1.35,3.71,https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-milwaukee-bucks-tta5NXhU/
4560,NBA,2014/2015,107.0,87.0,1.0,0.0,1.32,4.45,https://www.oddsportal.com/basketball/usa/nba-2014-2015/washington-wizards-memphis-grizzlies-U5e1ODwO/
4561,NBA,2014/2015,105.0,98.0,1.0,0.0,1.08,14.5,https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-detroit-pistons-zqdcPgOH/
4562,NBA,2014/2015,105.0,100.0,1.0,0.0,1.76,2.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-houston-rockets-dhcgQZ8B/
4563,NBA,2014/2015,106.0,97.0,1.0,0.0,1.54,3.1,https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-minnesota-timberwolves-vH2lRFg5/
4564,NBA,2014/2015,115.0,102.0,1.0,0.0,3.65,1.36,https://www.oddsportal.com/basketball/usa/nba-2014-2015/denver-nuggets-atlanta-hawks-0Q3pSeva/
4565,NBA,2014/2015,97.0,91.0,1.0,0.0,1.3,4.3,https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-orlando-magic-634tTyPh/
4566,NBA,2014/2015,108.0,120.0,0.0,0.0,1.43,3.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-los-angeles-clippers-h00xUH9n/
4567,NBA,2014/2015,95.0,92.0,1.0,0.0,3.6,1.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-memphis-grizzlies-AyBXUcft/
4568,NBA,2014/2015,104.0,98.0,1.0,0.0,1.62,2.65,https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-brooklyn-nets-8SO5ZwnP/
4569,NBA,2014/2015,106.0,113.0,0.0,0.0,1.29,4.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-sacramento-kings-tMzOAf9O/
4570,NBA,2014/2015,95.0,104.0,0.0,1.0,3.6,1.44,https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-chicago-bulls-2VyKBzfI/
4571,NBA,2014/2015,93.0,85.0,1.0,0.0,2.54,1.63,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-detroit-pistons-K6nFCGvC/
4572,NBA,2014/2015,87.0,82.0,1.0,0.0,1.13,11.75,https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-new-york-knicks-63rBDdP5/
4573,NBA,2014/2015,94.0,127.0,0.0,0.0,2.66,1.59,https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-cleveland-cavaliers-Ctq7ExAa/
4574,NBA,2014/2015,117.0,107.0,1.0,0.0,1.37,3.9,https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-toronto-raptors-EPw8PdJg/
4575,NBA,2014/2015,91.0,111.0,0.0,0.0,1.75,2.3,https://www.oddsportal.com/basketball/usa/nba-2014-2015/brooklyn-nets-new-orleans-pelicans-Ykp3FIfg/
